Total: 4706, Correct: 3828, Accuracy:0.813430
Details:
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\100_1_0_20170117195420803.jpg.chip.jpg', 'white', 'white', '>=80', 99.99998807907104)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\52_0_0_20170104212848023.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\52_0_0_20170105173134925.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\52_0_0_20170111171747376.jpg.chip.jpg', 'white', 'white', '<80', 65.36992192268372)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\52_0_0_20170111171747390.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\52_0_0_20170111195726274.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\52_0_0_20170111202347090.jpg.chip.jpg', 'white', 'white', '>=80', 99.99994039535522)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\52_0_0_20170111203259661.jpg.chip.jpg', 'white', 'white', '>=80', 99.97604489326477)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\52_0_0_20170111205535761.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\52_0_0_20170117154831559.jpg.chip.jpg', 'white', 'indian', '<80', 55.906784534454346)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\52_0_0_20170117160940615.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\52_0_0_20170119205635848.jpg.chip.jpg', 'white', 'white', '>=80', 99.99998807907104)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\52_0_0_20170119205653447.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\52_0_0_20170120222227135.jpg.chip.jpg', 'white', 'white', '>=80', 99.99862909317017)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\52_0_0_20170120222912410.jpg.chip.jpg', 'white', 'white', '>=80', 99.96892213821411)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\52_0_0_20170120222918436.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\52_1_0_20170104183913011.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\52_1_0_20170104192618431.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\52_1_0_20170104210038027.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\52_1_0_20170109012706985.jpg.chip.jpg', 'white', 'white', '>=80', 99.99876022338867)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\52_1_0_20170110122705423.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\52_1_0_20170110123807882.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\52_1_0_20170110141236056.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\52_1_0_20170110151342799.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\52_1_0_20170110151437658.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\52_1_0_20170113182810479.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\52_1_0_20170117145704297.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\53_0_0_20170104184408718.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\53_0_0_20170109012709495.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\53_0_0_20170109012725288.jpg.chip.jpg', 'white', 'white', '>=80', 99.99958276748657)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\53_0_0_20170109012812390.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\53_0_0_20170111171747396.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\53_0_0_20170111202247097.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\53_0_0_20170117154958988.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\53_0_0_20170117182542501.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\53_0_0_20170117191002777.jpg.chip.jpg', 'white', 'black', '>=80', 87.1080219745636)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\53_0_0_20170120223146786.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\53_1_0_20170104172755313.jpg.chip.jpg', 'white', 'white', '<80', 63.979917764663696)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\53_1_0_20170104212419940.jpg.chip.jpg', 'white', 'white', '>=80', 99.9502182006836)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\53_1_0_20170110141608191.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\53_1_0_20170110160643251.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\53_1_0_20170110160643329.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\53_1_0_20170117161107736.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_0_0_20170104165859441.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_0_0_20170104212504460.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_0_0_20170104212507413.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_0_0_20170104212535269.jpg.chip.jpg', 'white', 'asian', '>=80', 99.99786615371704)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_0_0_20170104212537133.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_0_0_20170104212610221.jpg.chip.jpg', 'white', 'white', '>=80', 99.83797073364258)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_0_0_20170104212619757.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_0_0_20170104212621156.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_0_0_20170105163714131.jpg.chip.jpg', 'white', 'white', '>=80', 99.99996423721313)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_0_0_20170109013343077.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_0_0_20170111201425519.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_0_0_20170111203603354.jpg.chip.jpg', 'white', 'white', '>=80', 99.99997615814209)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_0_0_20170111210520573.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_0_0_20170113184814520.jpg.chip.jpg', 'white', 'white', '>=80', 99.99169111251831)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_0_0_20170116193518166.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_0_0_20170117155448941.jpg.chip.jpg', 'white', 'white', '>=80', 99.99979734420776)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_0_0_20170117171049691.jpg.chip.jpg', 'white', 'white', '>=80', 99.9824583530426)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_0_0_20170117171128299.jpg.chip.jpg', 'white', 'white', '>=80', 99.99974966049194)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_0_0_20170117171614274.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_0_0_20170117190252594.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_0_0_20170117191422211.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_0_0_20170117204554999.jpg.chip.jpg', 'white', 'white', '>=80', 99.99997615814209)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_0_0_20170120134341414.jpg.chip.jpg', 'white', 'white', '>=80', 93.7634527683258)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_0_0_20170120223347588.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_0_0_20170120223411117.jpg.chip.jpg', 'white', 'indian', '>=80', 82.22995400428772)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_0_0_20170120223520757.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_1_0_20170104184901670.jpg.chip.jpg', 'white', 'white', '>=80', 85.10685563087463)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_1_0_20170104185045990.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_1_0_20170104212735309.jpg.chip.jpg', 'white', 'white', '>=80', 99.86734390258789)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_1_0_20170104235238436.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_1_0_20170110153052834.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_1_0_20170110160643344.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_1_0_20170117171158860.jpg.chip.jpg', 'white', 'white', '>=80', 99.99998807907104)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_1_0_20170117171412187.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_1_0_20170117171446412.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_1_0_20170117171701754.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\54_1_0_20170117204606216.jpg.chip.jpg', 'white', 'white', '>=80', 99.99910593032837)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_0_0_20170104204634819.jpg.chip.jpg', 'white', 'white', '>=80', 92.69922971725464)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_0_0_20170104212840141.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_0_0_20170109011808484.jpg.chip.jpg', 'white', 'white', '>=80', 84.01656746864319)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_0_0_20170111194845175.jpg.chip.jpg', 'white', 'white', '>=80', 99.99992847442627)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_0_0_20170111201201679.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_0_0_20170117000800699.jpg.chip.jpg', 'white', 'white', '>=80', 99.99998807907104)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_0_0_20170117135302098.jpg.chip.jpg', 'white', 'white', '>=80', 99.99955892562866)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_0_0_20170117135625808.jpg.chip.jpg', 'white', 'white', '>=80', 99.73727464675903)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_0_0_20170117160031913.jpg.chip.jpg', 'white', 'others', '>=80', 94.55917477607727)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_0_0_20170117182554324.jpg.chip.jpg', 'white', 'white', '>=80', 99.98760223388672)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_0_0_20170117183201893.jpg.chip.jpg', 'white', 'white', '>=80', 99.99996423721313)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_0_0_20170117185015353.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_0_0_20170117185928552.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_0_0_20170117190004928.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_0_0_20170117190028027.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_0_0_20170117190253859.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_0_0_20170117190614219.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_0_0_20170117190811698.jpg.chip.jpg', 'white', 'white', '>=80', 99.99955892562866)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_0_0_20170117191852677.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_0_0_20170120221341989.jpg.chip.jpg', 'white', 'indian', '>=80', 97.85175919532776)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_0_0_20170120221715677.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_0_0_20170120222359871.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_0_0_20170120222438720.jpg.chip.jpg', 'white', 'white', '>=80', 99.99709129333496)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_0_0_20170120223717438.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_1_0_20170103181515432.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_1_0_20170103183939755.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_1_0_20170110160643391.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_1_0_20170110160643438.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_1_0_20170117145739403.jpg.chip.jpg', 'white', 'white', '>=80', 99.9737799167633)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_1_0_20170117174940936.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_1_0_20170117175304208.jpg.chip.jpg', 'white', 'white', '>=80', 99.99988079071045)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\55_1_0_20170117185946850.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_0_0_20170104182229743.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_0_0_20170104184302965.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_0_0_20170104210115763.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_0_0_20170104210554380.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_0_0_20170104211806996.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_0_0_20170104212000007.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_0_0_20170104212131403.jpg.chip.jpg', 'white', 'white', '>=80', 99.84607696533203)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_0_0_20170109012058588.jpg.chip.jpg', 'white', 'white', '<80', 59.141647815704346)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_0_0_20170111171747459.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_0_0_20170111201143803.jpg.chip.jpg', 'white', 'white', '>=80', 99.28425550460815)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_0_0_20170111202409002.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_0_0_20170111210636788.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_0_0_20170113182756438.jpg.chip.jpg', 'white', 'white', '>=80', 99.99730587005615)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_0_0_20170113185134655.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_0_0_20170113185156200.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_0_0_20170116183723573.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_0_0_20170117000257766.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_0_0_20170117173638281.jpg.chip.jpg', 'white', 'white', '>=80', 99.99997615814209)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_0_0_20170120222521496.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_0_0_20170120222849329.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_0_0_20170120222907250.jpg.chip.jpg', 'white', 'white', '>=80', 99.99691247940063)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_0_0_20170120225933785.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_1_0_20170104171527362.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_1_0_20170104203119691.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_1_0_20170104212451892.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_1_0_20170110122842545.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_1_0_20170110141043329.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_1_0_20170110141232209.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_1_0_20170110160643563.jpg.chip.jpg', 'white', 'white', '>=80', 99.91130232810974)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_1_0_20170112205003474.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_1_0_20170117172544019.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_1_0_20170120133251429.jpg.chip.jpg', 'white', 'white', '>=80', 99.99997615814209)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\56_1_0_20170120140341104.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\57_0_0_20170104183717886.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\57_0_0_20170104202107434.jpg.chip.jpg', 'white', 'white', '>=80', 99.98805522918701)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\57_0_0_20170104212600580.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\57_0_0_20170104212808228.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\57_0_0_20170109012720243.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\57_0_0_20170109015522309.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\57_0_0_20170111203532804.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\57_0_0_20170117172537601.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\57_1_0_20170104205902805.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\57_1_0_20170104235338307.jpg.chip.jpg', 'white', 'white', '>=80', 99.99918937683105)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\57_1_0_20170109220740803.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\57_1_0_20170110120803050.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\57_1_0_20170110160643579.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170104185539454.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170104212025853.jpg.chip.jpg', 'white', 'white', '>=80', 80.4918110370636)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170104213016013.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170104213232283.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170105173531229.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170105173550604.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170105173557845.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170105173628294.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170109012156576.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170111171747501.jpg.chip.jpg', 'white', 'white', '>=80', 99.99181032180786)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170111195852891.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170111201757951.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170111204009616.jpg.chip.jpg', 'white', 'white', '<80', 72.56795763969421)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170111210401778.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170111223603548.jpg.chip.jpg', 'white', 'white', '>=80', 99.99951124191284)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170113185223064.jpg.chip.jpg', 'white', 'white', '>=80', 99.19441938400269)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170113185354432.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170116220615079.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170117172932280.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170117173237872.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170117191836212.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170117191901524.jpg.chip.jpg', 'white', 'black', '>=80', 88.54780197143555)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170117191923083.jpg.chip.jpg', 'white', 'white', '>=80', 99.86457228660583)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170117193308276.jpg.chip.jpg', 'white', 'white', '>=80', 99.64300990104675)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170117193919120.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170120222516888.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170120224549744.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170120224551943.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170120224608368.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_0_0_20170120224627678.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_1_0_20170104185557607.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\58_1_0_20170109142427954.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
